Month,DeliveryRate
01/01/16,70.28
01/02/16,69.47
01/03/16,78.9
01/05/16,76.73
01/06/16,72.7
01/07/16,83.43
01/08/16,86.05
01/09/16,78.99
01/10/16,90.56
01/11/16,90.03
01/12/16,88.7
01/01/17,82.95
01/02/17,85.48
01/03/17,82.21
01/04/17,79.16
01/05/17,85.83
01/06/17,86.31
01/08/17,87.02
01/09/17,85.92
01/10/17,88.15
01/11/17,78.94
01/12/17,85.39
01/01/18,85.31
01/02/18,79.21
01/03/18,77.62
01/04/18,84.02
01/05/18,80.19
01/06/18,83.06
01/07/18,85.59
01/08/18,79.81
01/09/18,85.21
01/10/18,84.21
01/11/18,82.87
01/12/18,85.43
